Copyright (c) James G. MacKinnon, 1999
ecmnc     7  7  7   30
 0.11546127E+00 0.10317911E+02-0.48341443E-01 0.20967437E-02 0.92932268E-03
 0.19215025E+00 0.10207862E+02-0.43656081E-01 0.16603818E-02 0.99512737E-03
 0.28501959E+00 0.10211415E+02-0.46338080E-01 0.21053178E-02 0.10948276E-02
 0.40077924E+00 0.10213073E+02-0.47479969E-01 0.24274880E-02 0.12039764E-02
 0.56064423E+00 0.99337156E+01-0.37657470E-01 0.18556024E-02 0.13938346E-02
 0.82391272E+00 0.96765508E+01-0.24246185E-01 0.84850358E-03 0.18759486E-02
 0.10735446E+01 0.95960616E+01-0.20804943E-01 0.11825305E-02 0.24967872E-02
 0.13883719E+01 0.92912682E+01-0.85358325E-02 0.16584862E-02 0.37411018E-02
 0.16182448E+01 0.90278214E+01 0.20347978E-01-0.65936533E-03 0.54022626E-02
ecmc      7  8  7   35
-0.64026693E+01-0.37710542E+02 0.85341750E-01-0.20639702E-01 0.44223577E-02
-0.62443286E+01-0.33297885E+02 0.91053030E-01-0.19708999E-01 0.33439346E-02
-0.60260255E+01-0.26740484E+02 0.56749537E-01-0.13481013E-01 0.22055668E-02
-0.58501408E+01-0.22170326E+02 0.31773133E-01-0.78760349E-02 0.16699497E-02
-0.56606674E+01-0.18426705E+02 0.43244141E-01-0.79791988E-02 0.12006092E-02
-0.55452805E+01-0.15959018E+02 0.31901145E-01-0.58145995E-02 0.10167622E-02
-0.54604221E+01-0.14172912E+02 0.22748662E-01-0.44247417E-02 0.93980666E-03
-0.53924016E+01-0.12933056E+02 0.23892117E-01-0.46393067E-02 0.83886253E-03
-0.53360648E+01-0.11885785E+02 0.23181593E-01-0.44994456E-02 0.80476959E-03
-0.52875835E+01-0.10919419E+02 0.16434798E-01-0.34328076E-02 0.75436345E-03
-0.52445055E+01-0.10184778E+02 0.15701452E-01-0.32320055E-02 0.69768371E-03
-0.52062963E+01-0.94575350E+01 0.12458246E-01-0.28122973E-02 0.65410309E-03
-0.51714150E+01-0.88668113E+01 0.12852978E-01-0.29630253E-02 0.63357770E-03
-0.50322030E+01-0.65473739E+01 0.57793468E-02-0.21021089E-02 0.52926505E-03
-0.49281550E+01-0.49550156E+01 0.90798262E-03-0.14657548E-02 0.48597316E-03
-0.48436887E+01-0.38095323E+01 0.87345009E-03-0.15537630E-02 0.44135032E-03
-0.47726375E+01-0.28368453E+01-0.19427573E-02-0.12281446E-02 0.40512846E-03
-0.47108036E+01-0.20188179E+01-0.29227753E-02-0.12628814E-02 0.38271311E-03
-0.46555813E+01-0.13181417E+01-0.49789226E-02-0.10426933E-02 0.36817056E-03
-0.46059649E+01-0.66776835E+00-0.77642907E-02-0.78088256E-03 0.36804898E-03
-0.45603342E+01-0.12401898E+00-0.84913751E-02-0.84110789E-03 0.34974738E-03
-0.45183202E+01 0.40811854E+00-0.11025743E-01-0.68889070E-03 0.34071852E-03
-0.44790389E+01 0.86435307E+00-0.12222606E-01-0.63221045E-03 0.33528590E-03
-0.44420202E+01 0.12568641E+01-0.13045039E-01-0.55245526E-03 0.32281534E-03
-0.44072745E+01 0.16401636E+01-0.13912557E-01-0.55550472E-03 0.31760594E-03
-0.43743023E+01 0.19866591E+01-0.14325636E-01-0.59325862E-03 0.31171843E-03
-0.43428863E+01 0.23018684E+01-0.15057345E-01-0.54237123E-03 0.31509412E-03
-0.43131824E+01 0.26635571E+01-0.18565297E-01-0.18546162E-03 0.30543190E-03
-0.42845755E+01 0.29538595E+01-0.19516444E-01-0.12072844E-03 0.29333610E-03
-0.42572307E+01 0.32695627E+01-0.22264554E-01 0.14319654E-03 0.28417799E-03
-0.42308581E+01 0.35349944E+01-0.22807041E-01 0.11167493E-03 0.27700867E-03
-0.42055033E+01 0.38054106E+01-0.24559750E-01 0.27317135E-03 0.26561749E-03
-0.41808333E+01 0.40482538E+01-0.25899852E-01 0.39668978E-03 0.26489410E-03
-0.41569037E+01 0.42824281E+01-0.27338279E-01 0.52774219E-03 0.26630556E-03
-0.41337780E+01 0.44971730E+01-0.27769393E-01 0.51063304E-03 0.26789660E-03
-0.41112748E+01 0.47004117E+01-0.27898342E-01 0.44114707E-03 0.26706069E-03
-0.40894961E+01 0.49380518E+01-0.30252856E-01 0.64814087E-03 0.25843813E-03
-0.40681387E+01 0.51272240E+01-0.30667301E-01 0.63833211E-03 0.26153863E-03
-0.40473599E+01 0.53359708E+01-0.32407593E-01 0.78848707E-03 0.26026307E-03
-0.40270713E+01 0.55325630E+01-0.34033131E-01 0.93090131E-03 0.25736707E-03
-0.40072281E+01 0.57227654E+01-0.35575951E-01 0.10628712E-02 0.25371972E-03
-0.39877905E+01 0.58931989E+01-0.36250370E-01 0.10823754E-02 0.24355578E-03
-0.39686755E+01 0.60487379E+01-0.36373592E-01 0.10115809E-02 0.24656760E-03
-0.39500383E+01 0.62186629E+01-0.37620295E-01 0.11218409E-02 0.24688778E-03
-0.39316861E+01 0.63857198E+01-0.39176245E-01 0.12792534E-02 0.24255495E-03
-0.39137343E+01 0.65415629E+01-0.39937573E-01 0.13157413E-02 0.24276446E-03
-0.38960340E+01 0.66895014E+01-0.40739740E-01 0.13534090E-02 0.23934841E-03
-0.38786398E+01 0.68355712E+01-0.41684885E-01 0.14320512E-02 0.23623682E-03
-0.38614989E+01 0.69814703E+01-0.42761371E-01 0.15192815E-02 0.23831086E-03
-0.38446972E+01 0.71355605E+01-0.44281524E-01 0.16446671E-02 0.23607943E-03
